Q (1/A)	 Ref	 dRef (SD)	 dq(FWHM, 1/A)
0.00951827	 0.962584	 0.0383764	 0.000838014
0.00988663	 0.893904	 0.0228173	 0.00087068
0.0102706	 1.02566	 0.0233635	 0.000904722
0.0106708	 0.954189	 0.0178986	 0.000940196
0.0110879	 0.966713	 0.016566	 0.000977156
0.0115225	 0.974067	 0.0139256	 0.00101566
0.0119754	 0.999946	 0.0147578	 0.00105578
0.0124471	 1.02861	 0.0128677	 0.00109756
0.0129386	 1.01734	 0.0116575	 0.00114108
0.0134505	 0.983513	 0.011946	 0.0011864
0.0139836	 0.802821	 0.00822217	 0.0012336
0.0145389	 0.471116	 0.00464315	 0.00128275
0.0151171	 0.180959	 0.00186981	 0.00133393
0.0157193	 0.0449517	 0.000480247	 0.00138723
0.0163462	 0.0287645	 0.000395655	 0.00144271
0.0169991	 0.0204161	 0.000234092	 0.00150048
0.0176788	 0.0164691	 0.000193591	 0.00156062
0.0183864	 0.013251	 0.000157687	 0.00162324
0.0191232	 0.0103216	 0.000127684	 0.00168842
0.0198901	 0.00832961	 0.000124139	 0.00175628
0.0206885	 0.00673562	 0.000107815	 0.00182691
0.0215196	 0.00543322	 8.35892e-05	 0.00190044
0.0223847	 0.00436557	 7.84318e-05	 0.00197697
0.0232852	 0.00350636	 5.86044e-05	 0.00205664
0.0242225	 0.00286982	 4.47584e-05	 0.00213956
0.0251981	 0.00234924	 4.5243e-05	 0.00222587
0.0262136	 0.00186702	 3.49468e-05	 0.00231571
0.0272704	 0.00154278	 3.29558e-05	 0.00240922
0.0283704	 0.00125075	 2.55117e-05	 0.00250655
0.0295153	 0.00100058	 2.15053e-05	 0.00260785
0.0307068	 0.000829729	 1.89267e-05	 0.00271328
0.0319468	 0.00065819	 1.65691e-05	 0.00282302
0.0332373	 0.000518469	 1.48225e-05	 0.00293723
0.0345804	 0.000441209	 1.41791e-05	 0.00305611
0.0359782	 0.000353743	 1.27905e-05	 0.00317983
0.0374328	 0.000290357	 1.46468e-05	 0.0033086
0.0389466	 0.000199308	 1.02591e-05	 0.00344263
0.040522	 0.000168315	 9.60042e-06	 0.00358213
0.0421614	 0.000139773	 1.01389e-05	 0.00372732
0.0438138	 0.00010275	 1.78742e-05	 0.00387007
0.0438675	 0.000101448	 8.84209e-06	 0.00387844
0.0455644	 7.00293e-05	 1.24845e-05	 0.00402534
0.0456429	 7.86976e-05	 8.01481e-06	 0.00403574
0.047387	 6.37129e-05	 8.88977e-06	 0.00418701
0.0474905	 6.69463e-05	 7.77284e-06	 0.00419945
0.0492846	 5.29849e-05	 6.94016e-06	 0.00435536
0.0494131	 4.43838e-05	 7.39802e-06	 0.00436986
0.05126	 3.7389e-05	 5.22056e-06	 0.00453065
0.0514139	 3.66433e-05	 6.50309e-06	 0.00454722
0.0533164	 3.25073e-05	 4.18055e-06	 0.00471316
0.0534959	 3.192e-05	 6.2701e-06	 0.00473184
0.0554572	 2.05273e-05	 3.07139e-06	 0.00490319
0.0556625	 1.64733e-05	 6.37323e-06	 0.00492402
0.0576856	 1.36863e-05	 2.4587e-06	 0.00510106
0.0579171	 1.04055e-05	 6.10339e-06	 0.00512406
0.0600052	 1.02281e-05	 1.92952e-06	 0.00530709
0.0602633	 1.61157e-05	 6.70111e-06	 0.00533228
0.0624197	 7.1873e-06	 1.54237e-06	 0.0055216
0.0627047	 9.66548e-06	 6.78947e-06	 0.00554905
0.0649328	 3.81878e-06	 1.2024e-06	 0.00574496
0.0652453	 1.64927e-05	 7.523e-06	 0.0057747
0.0675486	 3.41394e-06	 9.01021e-07	 0.00597754
0.067889	 3.60825e-06	 8.54157e-06	 0.0060096
0.0702712	 2.97616e-06	 8.48944e-07	 0.00621971
0.07064	 8.71433e-10	 9.05092e-06	 0.00625416
0.0731048	 1.5947e-06	 7.25919e-07	 0.00647187
0.0760541	 1.81269e-06	 6.1749e-07	 0.00673446
0.0791235	 1.37223e-06	 5.18726e-07	 0.0070079
0.0823181	 1.63295e-06	 5.17265e-07	 0.00729265
0.0856427	 5.62584e-07	 4.02484e-07	 0.0075892
0.0891028	 2.07384e-06	 4.14763e-07	 0.00789805
0.0927037	 1.90216e-06	 4.5969e-07	 0.00821972
0.0964511	 2.71588e-06	 3.75195e-07	 0.00855477
0.100351	 2.96033e-06	 3.75029e-07	 0.00890376
0.10441	 3.6776e-06	 4.31839e-07	 0.00926732
0.108633	 3.65185e-06	 3.90437e-07	 0.00964607
0.113029	 4.08745e-06	 4.14803e-07	 0.0100407
0.117603	 4.44726e-06	 4.08528e-07	 0.0104518
0.122363	 4.27263e-06	 3.82673e-07	 0.0108803
0.127316	 3.8456e-06	 3.50792e-07	 0.0113269
0.132471	 3.99079e-06	 3.78503e-07	 0.0117923
0.137835	 3.88261e-06	 3.57357e-07	 0.0122775
0.143417	 3.47159e-06	 3.30698e-07	 0.0127833
0.149225	 3.61593e-06	 3.1807e-07	 0.0133107
0.15527	 3.25245e-06	 3.12185e-07	 0.0138608
0.16156	 2.81452e-06	 2.77411e-07	 0.0144346
0.168105	 2.38788e-06	 2.45831e-07	 0.0150331
0.174917	 2.552e-06	 2.58688e-07	 0.0156577
0.182004	 1.92166e-06	 2.29054e-07	 0.0163096
0.18938	 1.97733e-06	 2.26885e-07	 0.0169901
0.197054	 1.84227e-06	 2.68745e-07	 0.0177006
0.205041	 1.16845e-06	 2.10278e-07	 0.0184428
0.213351	 6.7229e-07	 1.90214e-07	 0.0192181
0.221999	 5.84599e-07	 2.25811e-07	 0.0200284
0.230998	 6.63661e-07	 2.24608e-07	 0.0208754
0.240361	 5.88056e-07	 1.82771e-07	 0.0217612
0.250105	 3.08318e-07	 2.50081e-07	 0.0226878
0.260244	 3.13109e-07	 2.29602e-07	 0.0236576
0.270795	 3.32245e-07	 1.94822e-07	 0.0246729
0.281773	 -2.4323e-08	 2.24623e-07	 0.0257364
0.293198	 1.20431e-07	 2.1526e-07	 0.0268508
0.305085	 1.69238e-07	 2.2723e-07	 0.0280192
0.317455	 3.49924e-08	 3.17005e-07	 0.0292448
0.330327	 -1.72749e-07	 3.2165e-07	 0.0305312
